module_name,layer_index,block_name,out_features,in_features,num_singular_values,effective_rank,effective_rank_ratio,singular_value_effective_rank,singular_value_effective_rank_ratio,stable_rank,spectral_norm,frobenius_norm
model.layers.21.mlp.down_proj,21,mlp.down_proj,1024,3072,1024,777.4818115234375,0.7592595815658569,938.0148315429688,0.9160301089286804,162.29708862304688,4.205027103424072,53.5703125
model.layers.22.mlp.gate_proj,22,mlp.gate_proj,3072,1024,1024,749.0325927734375,0.7314771413803101,933.9195556640625,0.912030816078186,70.21148681640625,6.117642402648926,51.261131286621094
model.layers.22.mlp.up_proj,22,mlp.up_proj,3072,1024,1024,780.4302368164062,0.7621389031410217,941.393798828125,0.9193298816680908,207.56527709960938,4.09319543838501,58.97118377685547
model.layers.22.mlp.down_proj,22,mlp.down_proj,1024,3072,1024,770.86181640625,0.7527947425842285,931.1581420898438,0.909334123134613,162.87538146972656,4.430418014526367,56.54216384887695
model.layers.23.mlp.gate_proj,23,mlp.gate_proj,3072,1024,1024,756.4586181640625,0.7387291193008423,937.2337646484375,0.9152673482894897,67.93750762939453,6.342426776885986,52.27695083618164
model.layers.23.mlp.up_proj,23,mlp.up_proj,3072,1024,1024,787.536376953125,0.7690784931182861,944.0136108398438,0.9218882918357849,190.3598175048828,4.366847038269043,60.24979782104492
model.layers.23.mlp.down_proj,23,mlp.down_proj,1024,3072,1024,756.921875,0.7391815185546875,923.2613525390625,0.9016224145889282,174.1739044189453,4.41358757019043,58.24830627441406
model.layers.24.mlp.gate_proj,24,mlp.gate_proj,3072,1024,1024,768.392333984375,0.7503831386566162,942.4744873046875,0.9203852415084839,79.16521453857422,5.793760776519775,51.549888610839844
model.layers.24.mlp.up_proj,24,mlp.up_proj,3072,1024,1024,795.430908203125,0.7767879962921143,947.5185546875,0.9253110885620117,218.52450561523438,4.128608703613281,61.03146743774414
model.layers.24.mlp.down_proj,24,mlp.down_proj,1024,3072,1024,761.5188598632812,0.7436707615852356,926.7833862304688,0.9050619006156921,191.7126922607422,4.264986515045166,59.05315399169922
model.layers.25.mlp.gate_proj,25,mlp.gate_proj,3072,1024,1024,766.4876098632812,0.7485230565071106,942.8147583007812,0.9207175374031067,94.16393280029297,5.180798530578613,50.27348327636719
model.layers.25.mlp.up_proj,25,mlp.up_proj,3072,1024,1024,794.277587890625,0.7756617069244385,947.6441650390625,0.9254337549209595,179.50244140625,4.580680847167969,61.37128829956055
model.layers.25.mlp.down_proj,25,mlp.down_proj,1024,3072,1024,786.6547241210938,0.7682175040245056,941.144287109375,0.919086217880249,221.23004150390625,3.9479801654815674,58.72148895263672
model.layers.26.mlp.gate_proj,26,mlp.gate_proj,3072,1024,1024,740.85205078125,0.7234883308410645,939.292236328125,0.9172775745391846,65.10549926757812,6.150835037231445,49.629844665527344
model.layers.26.mlp.up_proj,26,mlp.up_proj,3072,1024,1024,788.1693725585938,0.7696966528892517,950.0947265625,0.9278268814086914,86.36260223388672,6.5243096351623535,60.631378173828125
model.layers.26.mlp.down_proj,26,mlp.down_proj,1024,3072,1024,807.00146484375,0.7880873680114746,956.9091796875,0.9344816207885742,233.6610870361328,3.680534839630127,56.26057052612305
model.layers.27.mlp.gate_proj,27,mlp.gate_proj,3072,1024,1024,602.9415283203125,0.5888100862503052,928.5164794921875,0.9067543745040894,17.738401412963867,12.903679847717285,54.346412658691406
model.layers.27.mlp.up_proj,27,mlp.up_proj,3072,1024,1024,703.3826293945312,0.6868970990180969,942.1702880859375,0.9200881719589233,30.135517120361328,10.566132545471191,58.003658294677734
model.layers.27.mlp.down_proj,27,mlp.down_proj,1024,3072,1024,824.0828247070312,0.8047683835029602,964.0465087890625,0.9414516687393188,155.8048095703125,3.833977222442627,47.856388092041016
